rank,lemma,pos,popularity_count,pos_majority_ratio
9,ser,AUX,14210,0.926601
13,haber,AUX,7126,0.842127
15,no,ADV,5570,0.969838
18,más,ADV,3345,0.997608
19,tener,VERB,3198,0.999687
20,estar,AUX,2934,0.746762
21,poder,AUX,2496,0.882612
22,año,NOUN,2444,0.997954
23,hacer,VERB,2278,0.994732
26,mucho,ADV,2011,0.635505
30,primero,ADJ,1568,0.935587
31,también,ADV,1567,0.984684
36,decir,VERB,1362,0.959618
37,ya,ADV,1234,0.997569
41,nuevo,ADJ,1147,0.958152
42,dar,VERB,1136,0.985915
45,país,NOUN,1032,0.976744
47,hoy,ADV,958,0.975992
48,parte,NOUN,948,0.995781
50,ir,VERB,918,0.970588
51,mismo,ADJ,915,0.439344
52,deber,AUX,905,0.772376
53,tanto,ADV,903,0.560354
54,partido,NOUN,892,0.955157
55,día,NOUN,890,0.983146
56,donde,ADV,882,0.989796
57,encontrar,VERB,870,1.0
59,sólo,ADV,864,0.996528
60,presidente,NOUN,844,1.0
61,equipo,NOUN,835,0.997605
62,vez,NOUN,807,0.997522
63,millón,NOUN,804,0.99005
64,último,ADJ,783,0.891443
65,después,ADV,766,0.967363
66,ver,VERB,751,0.973369
67,llegar,VERB,748,1.0
70,persona,NOUN,719,0.997218
74,además,ADV,681,1.0
75,ayer,ADV,674,0.989614
76,grupo,NOUN,666,0.966967
78,así,ADV,655,0.99542
79,ciudad,NOUN,652,0.941718
80,español,ADJ,651,0.814132
81,llevar,VERB,646,0.996904
82,pasado,ADJ,622,0.853698
84,segundo,ADJ,609,0.845649
86,gran,ADJ,598,0.921405
87,querer,VERB,598,0.964883
88,medio,NOUN,589,0.511036
89,seguir,VERB,583,0.996569
91,poco,ADV,576,0.376736
92,mes,NOUN,570,0.994737
93,tiempo,NOUN,563,0.987567
94,mayor,ADJ,560,0.955357
95,estado,NOUN,555,0.859459
96,empresa,NOUN,553,0.996383
98,poner,VERB,551,0.994555
99,ahora,ADV,544,1.0
100,bien,ADV,543,0.860037
102,mejor,ADJ,533,0.795497
103,pasar,VERB,531,0.996234
104,población,NOUN,530,1.0
